Unique System Identifier,Call Sign,Overall Height of Structure,Latitude,Longitude
11661,KNKN487,126.2,39.69808333333333,-92.96908333333333
11661,KNKN487,53.6,39.79863888888889,-92.10766666666666
11661,KNKN487,50.6,39.31666666666667,-92.88361111111112
11661,KNKN487,50.3,39.51141666666667,-93.10908333333333
11661,KNKN487,126.8,39.85197222222222,-93.0718611111111
11661,KNKN487,38.1,39.74536111111111,-92.26766666666667
11661,KNKN487,77.7,39.59008333333333,-92.47469444444445
11661,KNKN487,43.0,39.416916666666665,-92.43622222222223
11661,KNKN487,38.1,39.42169444444444,-92.80149999999999
11661,KNKN487,51.8,39.89863888888889,-92.47908333333334
11661,KNKN487,36.6,39.76461111111111,-93.06797222222222
11661,KNKN487,41.1,39.427027777777774,-93.13802777777778
11661,KNKN487,53.3,39.766,-92.74397222222223
11661,KNKN487,38.1,39.69113888888889,-92.05766666666666
11661,KNKN487,38.1,39.44344444444444,-92.92286111111112
11661,KNKN487,47.9,39.278416666666665,-92.34197222222221
11661,KNKN487,53.3,39.53097222222222,-92.7171388888889
11661,KNKN487,35.1,39.75780555555556,-92.82680555555555
11661,KNKN487,34.1,39.723194444444445,-92.4641388888889
11661,KNKN487,53.3,39.774055555555556,-93.31116666666667
11661,KNKN487,46.9,39.44669444444444,-92.41433333333335
11661,KNKN487,88.4,40.03647222222222,-92.49438888888889
11661,KNKN487,96.0,39.7165,-91.91358333333334
11661,KNKN487,60.7,39.89475,-92.7505
11661,KNKN487,96.0,39.553,-92.61744444444444
11661,KNKN487,96.0,39.56383333333333,-92.89961111111111
11661,KNKN487,96.0,39.771166666666666,-92.91211111111112
11661,KNKN487,80.8,39.433305555555556,-93.02538888888888
11661,KNKN487,96.0,39.65416666666667,-92.66166666666668
11661,KNKN487,96.0,39.44788888888888,-92.65483333333334
11661,KNKN487,80.8,39.60219444444444,-93.10508333333333
11661,KNKN487,96.0,39.655027777777775,-92.78613888888889
11662,KNKN589,53.0,42.009083333333336,-73.18088888888889
11662,KNKN589,57.9,41.681638888888884,-73.48661111111112
